,从业人员:北京,从业人员:天津,从业人员:河北:石家庄,从业人员:山西:太原,从业人员:内蒙古:呼和浩特,从业人员:辽宁:沈阳,从业人员:辽宁:大连,从业人员:吉林:长春,从业人员:黑龙江:哈尔滨,从业人员:上海,从业人员:江苏:南京,从业人员:浙江:杭州,从业人员:浙江:宁波,从业人员:安徽:合肥,从业人员:福建:福州,从业人员:福建:厦门,从业人员:江西:南昌,从业人员:山东:济南,从业人员:山东:青岛,从业人员:河南:郑州,从业人员:湖北:武汉,从业人员:湖南:长沙,从业人员:广东:广州,从业人员:广东:深圳,从业人员:广西:南宁,从业人员:海南:海口,从业人员:重庆,从业人员:四川:成都,从业人员:贵州:贵阳,从业人员:云南:昆明,从业人员:陕西:西安,从业人员:甘肃:兰州,从业人员:青海:西宁,从业人员:宁夏:银川,从业人员:新疆:乌鲁木齐,从业人数:第一产业:北京,从业人数:第一产业:天津,从业人数:第一产业:河北:石家庄,从业人数:第一产业:山西:太原,从业人数:第一产业:内蒙古:呼和浩特,从业人数:第一产业:辽宁:沈阳,从业人数:第一产业:辽宁:大连,从业人数:第一产业:吉林:长春,从业人数:第一产业:黑龙江:哈尔滨,从业人数:第一产业:上海,从业人数:第一产业:江苏:南京,从业人数:第一产业:浙江:杭州,从业人数:第一产业:浙江:宁波,从业人数:第一产业:安徽:合肥,从业人数:第一产业:福建:福州,从业人数:第一产业:江西:南昌,从业人数:第一产业:山东:济南,从业人数:第一产业:山东:青岛,从业人数:第一产业:河南:郑州,从业人数:第一产业:湖北:武汉,从业人数:第一产业:湖南:长沙,从业人数:第一产业:广东:广州,从业人数:第一产业:广东:深圳,从业人数:第一产业:广西:南宁,从业人数:第一产业:海南:海口,从业人数:第一产业:重庆,从业人数:第一产业:四川:成都,从业人数:第一产业:贵州:贵阳,从业人数:第一产业:云南:昆明,从业人数:第一产业:陕西:西安,从业人数:第一产业:甘肃:兰州,从业人数:第一产业:青海:西宁,从业人数:第一产业:宁夏:银川,从业人数:第一产业:新疆:乌鲁木齐,第二产业:北京,第二产业:天津,第二产业:河北:石家庄,第二产业:山西:太原,第二产业:内蒙古:呼和浩特,第二产业:辽宁:沈阳,第二产业:辽宁:大连,第二产业:吉林:长春,第二产业:黑龙江:哈尔滨,第二产业:上海,第二产业:江苏:南京,第二产业:浙江:杭州,第二产业:浙江:宁波,第二产业:安徽:合肥,第二产业:福建:福州,第二产业:江西:南昌,第二产业:山东:济南,第二产业:山东:青岛,第二产业:河南:郑州,第二产业:湖北:武汉,第二产业:湖南:长沙,第二产业:广东:广州,第二产业:广东:深圳,第二产业:广西:南宁,第二产业:海南:海口,第二产业:重庆,第二产业:四川:成都,第二产业:贵州:贵阳,第二产业:云南:昆明,第二产业:陕西:西安,第二产业:甘肃:兰州,第二产业:青海:西宁,第二产业:宁夏:银川,第二产业:新疆:乌鲁木齐,第三产业:北京,第三产业:天津,第三产业:河北:石家庄,第三产业:山西:太原,第三产业:内蒙古:呼和浩特,第三产业:辽宁:沈阳,第三产业:辽宁:大连,第三产业:吉林:长春,第三产业:黑龙江:哈尔滨,第三产业:江苏:南京,第三产业:上海,第三产业:浙江:杭州,第三产业:浙江:宁波,第三产业:安徽:合肥,第三产业:福建:福州,第三产业:福建:厦门,第三产业:江西:南昌,第三产业:山东:济南,第三产业:山东:青岛,第三产业:河南:郑州,第三产业:湖北:武汉,第三产业:湖南:长沙,第三产业:广东:广州,第三产业:广东:深圳,第三产业:广西:南宁,第三产业:海南:海口,第三产业:四川:成都,第三产业:贵州:贵阳,第三产业:云南:昆明,第三产业:陕西:西安,第三产业:甘肃:兰州,第三产业:青海:西宁,第三产业:新疆:乌鲁木齐
2005,8780.00,5425.20,874.10,758.00,301.50,1001.70,902.30,,1519.70,8633.20,3166.90,4811.00,4151.00,403.60,840.90,703.10,568.90,973.90,1249.50,936.10,1485.30,729.70,5744.60,5762.60,618.50,257.70,14563.00,1346.10,619.10,715.60,1236.50,570.60,219.50,291.10,451.00,621.96,817.90,4.90,4.30,4.00,6.90,15.50,14.70,78.40,610.94,426.20,916.30,764.00,2.40,8.80,22.50,1.20,5.80,3.80,56.30,3.00,,,33.70,2.40,6783.20,3.60,1.30,7.40,14.30,4.50,4.50,17.90,16.40,2311.00,2273.80,357.70,386.30,98.80,405.00,461.60,,732.90,3312.98,1315.60,2221.60,2132.00,155.30,476.60,241.70,456.90,802.50,449.90,611.70,309.90,,,191.60,82.70,2830.80,652.20,317.60,288.20,554.30,272.60,83.60,146.20,179.40,5847.00,2333.50,511.50,367.40,198.70,589.80,425.20,,708.40,1425.10,4634.69,1673.10,1255.00,245.90,355.50,194.50,304.70,515.80,441.20,482.40,817.30,416.80,,,393.20,172.60,690.30,300.20,420.00,667.90,293.50,131.40,255.20
2006,9197.00,5629.20,871.10,779.20,299.90,1001.90,922.70,851.60,1490.00,8855.10,3274.10,5122.10,4298.00,455.20,871.90,774.60,592.10,1012.60,1294.70,954.40,1538.90,771.00,5995.00,6097.57,619.90,,14547.70,1392.50,605.60,804.50,1251.00,567.10,222.20,295.10,447.50,603.00,811.10,4.60,3.40,4.10,7.80,15.10,13.40,65.00,553.30,373.80,869.20,708.00,2.00,7.70,20.40,1.10,5.80,3.30,54.10,2.60,,,33.40,,6643.50,3.20,1.70,8.10,14.70,1.50,4.60,12.30,12.80,2254.00,2348.50,351.70,396.30,93.30,383.50,472.50,348.80,716.00,3276.30,1387.50,2346.50,2242.00,191.80,500.50,244.20,493.80,846.80,443.80,662.00,324.60,,,186.50,,2864.60,683.50,298.70,321.10,555.70,278.80,83.10,149.90,161.60,6340.00,2469.60,514.80,379.50,202.50,610.60,435.10,489.40,709.00,1512.80,5025.50,1906.40,1348.00,261.40,363.70,216.50,327.50,517.70,442.10,507.30,822.80,443.80,,,400.00,,705.80,305.20,475.30,680.60,286.80,134.50,273.10
2007,9427.00,6139.30,862.80,804.90,299.30,1002.60,907.70,858.90,1483.40,10243.30,3678.10,5330.90,4378.00,480.70,923.00,828.40,626.00,1182.20,1298.50,1001.90,1595.80,816.20,6236.30,6471.08,636.00,282.50,14688.70,1463.80,662.20,877.10,1294.00,564.60,234.80,292.20,470.30,609.00,769.80,4.50,3.40,4.00,7.00,14.20,13.20,78.10,537.62,451.50,839.40,675.00,2.00,6.40,23.30,1.10,5.60,3.40,45.00,1.80,,,30.90,2.20,6585.20,3.30,2.60,8.80,13.30,1.50,4.20,14.10,12.60,2281.00,2613.50,345.60,407.60,89.00,381.80,468.90,345.20,676.90,3485.29,1532.50,2453.20,2288.00,194.90,534.80,281.10,574.00,837.60,472.30,777.00,359.00,,,198.30,85.90,2944.30,730.00,323.80,369.20,598.50,278.80,92.40,140.90,170.30,6537.00,2756.00,512.70,393.90,206.30,613.80,424.60,500.50,728.40,1694.10,4742.94,2038.30,1415.00,283.80,381.80,229.90,321.60,607.10,455.30,526.20,773.80,455.40,,,406.80,194.40,730.50,335.80,499.10,682.20,284.30,138.20,287.40
2008,9809.00,6473.20,847.60,791.00,314.40,1044.20,950.10,877.60,1454.60,10532.40,3803.70,5691.60,4399.00,497.50,958.40,778.20,630.00,1206.00,1262.20,1002.20,1704.50,866.70,6529.00,6823.53,652.00,288.70,14924.30,1555.70,663.80,927.50,1308.50,489.90,246.60,289.80,465.70,630.00,763.00,4.70,3.20,4.00,6.20,9.30,13.30,76.60,493.90,458.40,802.80,645.00,1.40,6.10,22.20,1.30,4.10,3.90,36.70,1.70,,,22.80,2.10,6521.90,3.20,3.50,8.10,13.90,1.50,4.40,13.50,12.40,2074.00,2719.00,327.60,389.20,90.40,412.00,476.60,353.30,650.60,3521.44,1532.40,2635.30,2326.00,197.80,512.50,283.10,577.40,798.50,461.10,845.00,377.30,,,204.70,84.00,3076.60,791.30,318.80,387.80,593.80,224.40,93.00,137.50,163.90,7105.00,2991.20,515.30,398.60,220.00,626.00,464.20,511.00,727.40,1812.90,4944.70,2253.50,1428.00,298.30,439.80,247.60,324.70,627.30,459.60,537.20,822.80,487.70,,,424.50,202.60,761.20,341.50,531.60,700.80,264.00,149.20,289.40
2009,9983.00,6771.30,835.00,803.30,315.90,1052.20,939.70,891.00,1440.40,10644.20,4077.00,5974.70,4438.60,627.30,987.00,802.90,663.10,1232.60,1229.60,1039.60,1757.40,1004.30,6791.50,7236.14,690.70,311.00,15130.00,1646.10,685.60,939.60,1356.40,502.90,274.30,296.60,467.00,622.00,757.00,4.30,3.20,3.80,7.80,9.00,14.00,63.60,485.30,458.00,802.10,694.30,1.10,8.40,21.30,1.10,5.00,2.60,9.20,0.10,,,16.20,2.00,6380.80,3.20,2.60,6.90,3.30,1.20,2.70,12.70,12.30,1996.00,2810.10,309.60,391.60,87.40,412.20,481.40,352.00,629.10,4230.30,1687.90,2779.80,2390.70,273.10,502.30,307.90,563.80,754.90,482.90,885.80,451.70,,,226.70,94.00,3260.40,843.40,317.40,377.30,574.70,231.80,106.50,141.00,167.10,7365.00,3204.20,521.10,408.50,224.70,632.20,449.30,525.00,747.70,1931.10,5928.60,2392.80,1353.60,353.10,476.30,246.30,333.90,667.70,469.70,554.10,862.40,552.50,,,447.80,215.00,799.50,365.60,555.40,778.40,269.90,165.10,287.60
2010,10316.00,7287.00,841.50,846.40,315.00,1104.20,942.00,928.10,1351.70,10907.60,4417.00,6263.30,4765.10,711.00,1054.70,953.30,678.30,1278.00,1241.10,1085.00,1784.60,1105.60,7110.70,7581.36,705.50,330.90,15399.50,1720.50,703.40,989.60,1403.70,513.60,286.50,300.80,471.70,614.00,738.50,4.10,3.30,3.60,9.90,9.70,13.30,55.00,370.90,485.00,757.00,322.10,1.00,7.30,17.30,1.10,5.20,2.30,7.90,0.50,590.22,3.67,15.40,1.30,6212.90,2.30,3.00,8.00,3.90,1.60,1.40,12.20,12.30,2027.00,3023.30,311.10,427.50,88.30,412.70,475.70,374.50,496.70,4437.40,1511.00,2862.60,2664.20,329.30,559.00,321.10,619.30,756.10,503.90,890.40,501.10,2736.42,3903.54,224.70,100.80,3518.60,909.10,341.20,388.60,572.20,241.20,115.20,139.50,164.60,7675.00,3525.20,526.30,415.60,223.10,681.60,456.60,540.30,800.00,2421.00,6099.30,2643.70,1778.80,380.70,488.40,290.30,339.90,657.60,479.80,578.80,886.30,604.00,3784.05,3674.15,465.40,228.80,809.10,359.20,593.00,827.60,270.80,169.90,294.80
2011,10697.00,7631.60,848.00,838.00,324.60,1099.88,1098.15,949.50,1313.40,11043.30,4468.00,6377.70,4938.30,977.20,1280.69,1105.00,914.30,1330.80,1284.40,1366.60,1897.70,1219.10,7431.76,7645.42,779.90,355.23,15851.60,1989.20,765.20,1108.30,1543.40,523.70,336.10,313.20,608.70,591.00,731.80,4.10,3.30,3.70,9.60,9.90,12.30,72.70,372.80,482.00,722.10,325.40,1.60,6.60,12.60,1.70,3.00,2.00,4.00,1.50,629.01,3.22,16.50,,6043.80,2.10,2.00,6.90,3.80,1.40,1.50,12.00,11.20,2192.00,3159.90,305.00,421.50,93.60,441.50,563.50,379.30,450.10,4450.80,1500.00,2891.20,2736.60,505.40,794.00,511.00,611.30,781.60,726.20,989.80,586.40,2829.34,3829.11,269.80,93.10,3908.00,1096.80,401.80,488.40,639.90,247.40,148.20,142.00,233.70,7914.00,3739.90,538.90,413.20,227.30,756.90,524.60,557.90,790.60,2486.00,6219.70,2764.40,1876.30,470.40,480.10,312.80,390.70,717.90,499.80,638.40,903.90,631.20,3973.40,3813.10,493.60,269.60,890.30,361.40,613.00,899.70,274.90,186.40,363.80
2012,11073.00,8031.40,906.90,984.87,343.00,1128.03,1114.88,999.84,1229.66,11155.00,4518.00,6444.30,5015.80,1155.69,1437.74,1179.75,962.00,1415.00,1290.00,1556.46,1918.50,1240.58,7513.00,7711.97,804.40,452.76,16331.40,2122.95,827.00,1197.50,1797.56,540.59,350.67,354.89,,573.00,712.30,2.60,2.50,,5.20,,10.90,76.10,457.00,491.00,703.90,297.40,,2.20,,1.00,1.80,2.19,3.40,,646.82,1.31,15.50,,5925.90,,1.70,3.30,3.50,2.00,1.50,11.20,10.90,2126.00,3308.90,339.60,579.80,104.80,447.90,477.10,396.30,498.70,4399.60,1511.00,2900.10,2752.70,,918.50,,689.80,772.70,894.50,1002.70,,2825.59,3732.42,291.10,,4227.30,,447.60,542.70,726.00,254.70,156.90,139.30,236.20,8374.00,4010.20,564.60,452.20,231.60,,,592.70,807.80,2516.00,6298.40,2840.30,1965.70,,516.40,351.20,,723.70,515.70,659.80,912.40,,4040.59,3978.24,497.80,,,378.00,651.50,926.40,284.00,178.70,383.10
2013,11410.00,8474.60,970.00,967.48,415.36,1442.17,1314.05,1262.02,1254.34,13689.10,4524.00,6505.10,5033.60,1444.97,1427.51,1302.62,1196.00,1481.00,1471.00,1920.00,1985.40,1303.44,8251.07,9671.35,905.53,493.60,16835.10,2516.66,977.00,1373.00,1984.18,654.00,359.00,373.64,725.94,554.00,689.90,2.00,2.50,3.90,3.40,5.70,11.60,49.80,506.50,485.00,700.70,288.50,1.00,2.00,8.30,0.90,1.40,3.10,3.80,1.20,645.29,1.28,14.90,,5809.20,,2.10,3.40,2.80,1.10,1.20,10.50,10.50,2109.00,3538.50,339.40,518.50,111.80,709.10,734.20,631.60,507.80,4792.20,1502.00,2915.10,2740.70,886.70,833.60,733.00,715.60,867.10,1122.90,1022.80,616.40,,4373.20,359.50,,4522.12,,525.60,612.30,833.70,304.80,155.50,145.20,239.20,8747.00,4246.20,587.40,446.40,299.40,815.30,574.20,618.80,816.30,2537.00,8390.40,2889.30,2004.40,557.30,591.90,401.20,454.50,764.30,602.60,793.50,958.80,685.70,4326.75,4617.55,531.10,,,449.70,757.50,1147.70,347.70,202.50,444.10
2014,11567.00,8772.10,1005.63,1078.24,421.46,1454.00,1212.87,1268.42,1249.38,13656.30,4530.00,6549.20,5115.00,1450.12,1491.70,1339.07,1220.98,1422.65,1501.14,1973.75,2023.44,1317.97,8749.63,10345.79,958.49,512.77,16969.40,2681.14,1038.65,1216.10,1994.10,671.10,349.00,387.74,704.30,524.10,679.80,1.96,1.96,3.50,2.92,5.23,11.90,50.08,448.10,474.00,663.90,193.90,0.78,2.52,4.55,0.84,1.41,2.97,3.57,0.92,604.31,1.25,12.62,,5555.90,1.66,1.79,2.60,1.90,0.70,1.10,13.82,10.70,2098.90,3415.10,361.68,513.02,116.70,714.36,630.65,627.60,481.09,4768.70,1499.00,2869.90,2731.60,878.34,888.06,758.79,670.29,837.50,1131.28,1039.72,632.51,2838.08,4319.35,396.34,,4644.80,1210.70,539.66,486.20,779.20,309.20,153.50,200.93,236.30,8943.90,4677.20,641.99,563.27,301.30,819.33,576.99,628.90,831.86,2557.00,8439.50,3015.40,2189.50,571.00,601.11,455.75,457.63,751.53,662.23,839.50,980.14,684.54,4405.97,4675.99,549.53,,1515.28,497.20,727.30,1213.00,361.20,194.40,457.30
